label,agent,fixture,run_idx,ok,ms,resp_chars,ramble_count,preamble_count,first_cand,final_cand,stable_choice,tool_called,wallclock_capped,plan_chosen
E5_tool_required,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d3s9_night_ramble.txt,1,True,63653,3076,1,1,"at (22,16)",,False,True,True,
E5_tool_required,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d3s9_night_ramble.txt,2,True,60096,3075,0,0,"at (22,16)",,False,True,True,
E5_tool_required,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d3s9_night_ramble.txt,3,True,57123,3075,0,0,"at (29,3)",,False,True,True,
E5_tool_required,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d3s9_night_ramble.txt,4,True,59207,3076,0,0,"at (19,13)",,False,True,True,
E5_tool_required,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d7s26_final_night.txt,0,True,63852,3076,0,4,"at (30,1)",,False,True,True,final_day_push
E5_tool_required,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d7s26_final_night.txt,1,True,66439,3075,0,0,"at (16,21)",,False,True,True,final_day_push
E5_tool_required,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d7s26_final_night.txt,2,True,60543,3076,0,0,"at (30,1)",,False,True,True,final_day_push
E5_tool_required,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d7s26_final_night.txt,3,True,62402,3075,0,0,,,False,True,True,
E5_tool_required,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d7s26_final_night.txt,4,True,54759,1369,0,0,H0,,False,True,True,final_day_push
E6_full_stack,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d3s9_night_ramble.txt,0,True,36688,2076,0,0,"at (22,16)",,False,True,True,
E6_full_stack,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d3s9_night_ramble.txt,1,True,39963,2076,0,0,P2,,False,True,True,
E6_full_stack,SOC_RED_REAPER_STRATEGIC+SOC_RED_REAPER_TACTICAL,d3s9_night_ramble.txt,2,True,47026,2076,0,0,"at (28,7)",,False,True,True,
